,tweet_id,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
2185,668852170888998912,470,174,6831422,103,Twitter for iPhone,Original tweet,https://t.co/OmxouCZ8IY
2186,668826086256599040,456,147,6831422,103,Twitter for iPhone,Original tweet,https://t.co/Ko7eCsFpnI
2187,668815180734689280,595,284,6831422,103,Twitter for iPhone,Original tweet,https://t.co/IGmVbz07tZ
2188,668779399630725120,733,396,6831422,103,Twitter for iPhone,Original tweet,https://t.co/YVAJgWHzPW
2189,668655139528511488,551,229,6831422,103,Twitter for iPhone,Original tweet,https://t.co/mwnBN6ZkPt
2190,668645506898350081,934,573,6831422,103,Twitter for iPhone,Original tweet,https://t.co/70X1TIXn38
2191,668643542311546881,922,561,6831422,103,Twitter for iPhone,Original tweet,https://t.co/IiSdmhkC5N
2192,668641109086707712,1122,563,6831422,103,Twitter for iPhone,Original tweet,https://t.co/pKJK23j0QZ
2193,668636665813057536,1083,510,6831422,103,Twitter for iPhone,Original tweet,https://t.co/EM5fDykrJg
2194,668633411083464705,2939,1744,6831422,103,Twitter for iPhone,Original tweet,https://t.co/k8P6FZlzAG
2195,668631377374486528,746,338,6831422,103,Twitter for iPhone,Original tweet,https://t.co/fvVNScw8VH
2196,668627278264475648,332,122,6831422,103,Twitter for iPhone,Original tweet,https://t.co/3FuNbzyPwo
2197,668625577880875008,410,140,6831422,103,Twitter for iPhone,Original tweet,https://t.co/0zBycaxyvs
2198,668623201287675904,1507,826,6831422,103,Twitter for iPhone,Original tweet,https://t.co/TIhVKEIPqj
2199,668620235289837568,216,46,6831422,103,Twitter for iPhone,Original tweet,https://t.co/AGyogHtmXx
2200,668614819948453888,635,333,6831422,103,Twitter for iPhone,Original tweet,https://t.co/2Su7gmsnZm
2201,668587383441514497,1732,1145,6831422,103,Vine - Make a Scene,Original tweet,https://t.co/roqIxCvEB3
2202,668567822092664832,254,61,6831422,103,Twitter for iPhone,Original tweet,https://t.co/81kzPgqjQ3
2203,668544745690562560,542,239,6831422,103,Twitter for iPhone,Original tweet,https://t.co/ALNyYuGui7
2204,668542336805281792,484,226,6831422,103,Twitter for iPhone,Original tweet,https://t.co/VvYVbsi6c3
2205,668537837512433665,258,78,6831422,103,Twitter for iPhone,Original tweet,https://t.co/stEodX9Aba
2206,668528771708952576,484,237,6831422,103,Twitter for iPhone,Original tweet,https://t.co/zpdBQCcYgW
2207,668507509523615744,338,113,6831422,103,Twitter for iPhone,Original tweet,https://t.co/HvNg9JWxFt
2208,668496999348633600,426,139,6831422,103,Twitter for iPhone,Original tweet,https://t.co/Edy7B5vOp2
2209,668484198282485761,442,248,6831422,103,Twitter for iPhone,Original tweet,https://t.co/uXgmECGYEB
2210,668480044826800133,477,155,6831422,103,Twitter for iPhone,Original tweet,https://t.co/be3zMW0Qj5
2211,668466899341221888,920,544,6831422,103,Twitter for iPhone,Original tweet,https://t.co/YOHe6lf09m
2212,668297328638447616,643,313,6831422,103,Twitter for iPhone,Original tweet,https://t.co/P8bivfp5sU
2213,668291999406125056,259,34,6831422,103,Twitter for iPhone,Original tweet,https://t.co/fM0KXns7Or
2214,668286279830867968,524,144,6831422,103,Twitter for iPhone,Original tweet,https://t.co/C8U6cxI1Jc
2215,668274247790391296,856,241,6831422,103,Twitter for iPhone,Original tweet,https://t.co/3j9kZRcpVB
2216,668268907921326080,574,251,6831422,103,Twitter for iPhone,Original tweet,https://t.co/aeZykWwiJN
2217,668256321989451776,1351,650,6831422,103,Twitter for iPhone,Original tweet,https://t.co/L6qAEV5PAd
2218,668248472370458624,1026,511,6831422,103,Twitter for iPhone,Original tweet,https://t.co/1XYRh8N00K
2219,668237644992782336,6439,3001,6831422,103,Twitter for iPhone,Original tweet,https://t.co/TnSRDqYO5i
2220,668226093875376128,316,110,6831422,103,Twitter for iPhone,Original tweet,https://t.co/jWVwSppaa2
2221,668221241640230912,525,209,6831422,103,Twitter for iPhone,Original tweet,https://t.co/4pw1QQ6udh
2222,668204964695683073,573,204,6831422,103,Twitter for iPhone,Original tweet,https://t.co/4ilfcR5SlK
2223,668190681446379520,674,205,6831422,103,Twitter for iPhone,Original tweet,https://t.co/2wm0POA9N2
2224,668171859951755264,511,202,6831422,103,Twitter for iPhone,Original tweet,https://t.co/XpseHBlAAb
2225,668154635664932864,513,330,6831422,103,Twitter for iPhone,Original tweet,https://t.co/79sHR36NsI
2226,668142349051129856,580,302,6831422,103,Twitter for iPhone,Original tweet,https://t.co/DnhUw0aBM2
2227,668113020489474048,689,258,6831213,103,Twitter for iPhone,Original tweet,https://t.co/GCJzm3YsfX
2228,667937095915278337,1320,838,6831422,103,Twitter for iPhone,Original tweet,https://t.co/x89NSCEZCq
2229,667924896115245057,309,117,6831422,103,Twitter for iPhone,Original tweet,https://t.co/fW6kIPFGD2
2230,667915453470232577,217,58,6831422,103,Twitter for iPhone,Original tweet,https://t.co/tIaaBIMlJN
2231,667911425562669056,511,318,6831422,103,Twitter for iPhone,Original tweet,https://t.co/SyMoWrp368
2232,667902449697558528,876,390,6831422,103,Twitter for iPhone,Original tweet,https://t.co/sJeHdGUt0W
2233,667886921285246976,1966,1150,6831422,103,Twitter for iPhone,Original tweet,https://t.co/MT7Q4aDQS1
2234,667885044254572545,846,508,6831422,103,Twitter for iPhone,Original tweet,https://t.co/7rkYZQdKEd
2235,667878741721415682,403,124,6831422,103,Twitter for iPhone,Original tweet,https://t.co/LvP1TTYSCN
2236,667873844930215936,651,427,6831422,103,Twitter for iPhone,Original tweet,https://t.co/ODqrL3zXYE
2237,667866724293877760,3100,1084,6831422,103,Twitter for iPhone,Original tweet,https://t.co/SBmWbfAg6X
